WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ094949.25+215101.99,DA,0.9972823,15.518,|                   |,0.0004080411,0.9972823,0.00039118784,0.0006449291,0.00014007406,9.058402e-08,0.00023563011,0.00028631926,0.0002939739,0.00031735544
WDJ093729.10+710813.84,DA,0.81675714,42.3107,|                   |,0.0016278928,0.81675714,0.11831627,0.00097377726,0.0022959283,2.7373164e-06,0.04992463,0.0036957818,0.0055748764,0.0008309928
WDJ090741.61+070230.39,DA,0.99058247,6.7318,|                   |,0.00044848025,0.99058247,0.0020552247,0.0010842953,0.00035686552,3.9062635e-07,0.0033636882,0.00045731766,0.0010465794,0.0006048014
WDJ092010.55+045721.17,DA,0.9959423,23.0896,|                   |,0.00028576204,0.9959423,0.00030384943,0.00082782144,6.480793e-05,5.3867975e-08,0.00013587976,8.774824e-05,0.0002549836,0.0020969629
WDJ095832.09+105227.42,DA,0.9960885,13.8535,|                   |,6.629371e-05,0.9960885,0.0021974782,0.00079652155,9.1640315e-05,7.328012e-08,0.00041237686,9.423009e-05,0.00019890683,5.3946955e-05
WDJ091903.20+021837.63,DA,0.98743975,14.9473,|                   |,0.00084139046,0.98743975,0.0015541895,0.0020176799,0.0014824434,3.029143e-06,0.0037097204,0.0010149701,0.001435173,0.000501677
WDJ091147.20+384706.06,DA,0.99726915,17.4759,|                   |,0.00042051997,0.99726915,0.00035125914,0.0008222081,0.00017333218,1.4290538e-07,0.00017908904,0.00025393962,0.00025578466,0.0002746166
WDJ095946.83+032138.23,DA,0.99694705,61.4321,|                   |,2.0014124e-05,0.99694705,0.0010610991,0.0017113526,2.1494914e-05,3.6898026e-08,7.9957455e-05,3.070763e-05,0.0001132116,1.50555015e-05
WDJ095529.86+025913.47,DA,0.99756604,40.7106,|                   |,0.00026385428,0.99756604,0.0005050371,0.0008508844,0.000104589075,8.921035e-08,0.00018189417,0.00020911821,0.00019919577,0.00011929445
WDJ090903.65+712826.18,DC,0.9824702,15.821,|                   |,0.0008598137,0.0001420673,0.001435021,1.3095587e-07,0.0060099983,5.5399414e-06,0.9824702,0.0059429617,0.0030346643,9.9692006e-05
WDJ094641.98-071249.59,DA,0.99584025,14.2513,|                   |,0.000455685,0.99584025,0.0015740304,0.00034899186,0.00021931468,7.685875e-08,0.00040348814,0.00051218795,0.0003336124,0.00031226585
WDJ090945.19+094452.00,DC,0.87435836,18.9563,|                   |,0.0032245885,0.062163908,0.019871145,5.041301e-05,0.01771395,1.4365467e-05,0.87435836,0.0129053425,0.008997447,0.0007004642
WDJ093957.12+540152.46,DA,0.99106705,7.7437,|                   |,0.0005613186,0.99106705,0.0046394877,0.000524663,0.0001624286,8.5988404e-08,0.0018996916,0.0005788968,0.00029948726,0.00026688568
WDJ093857.71+015321.09,DA,0.99880046,23.8888,|                   |,5.1456984e-05,0.99880046,0.00033863506,0.00035596263,6.663459e-05,2.374791e-08,0.00018237921,5.6812358e-05,0.000114608476,3.295185e-05
WDJ092433.25+052107.00,DA,0.9852515,9.5944,|                   |,0.0002457904,0.9852515,0.003053081,0.00034208782,9.893943e-05,3.4352624e-08,0.010142725,0.00011438265,0.00050126656,0.0002500721
WDJ093005.67+004557.68,DA,0.99644476,31.8128,|                   |,0.00042187353,0.99644476,0.00019154321,0.001877118,0.00013057944,2.4598756e-07,0.00019913618,0.00020838763,0.00030268627,0.00022355793
WDJ094209.74+660043.07,DC,0.7643582,43.3889,|                   |,0.0016545309,0.16067766,0.061500557,6.6497225e-05,0.0014776132,6.1151735e-07,0.7643582,0.0029751894,0.006822806,0.0004663549
WDJ090059.86+062920.66,DA,0.9952742,14.1787,|                   |,0.0005245573,0.9952742,0.00033643353,0.0015721128,0.00022021563,3.4784767e-07,0.0006343938,0.00035974788,0.00062265585,0.00045532561
WDJ090344.25-013326.22,CV,1.0,10.0784,|                   |,1.0,0.0,9.860197e-37,0.0,0.0,0.0,2.0557808e-26,9.466438e-31,5.122128e-26,1.1673496e-22
WDJ094346.61-070348.73,DA,0.99376154,39.7924,|                   |,9.235476e-05,0.99376154,0.0035151378,0.00050412526,7.05013e-05,3.5764604e-08,0.0017013836,5.60239e-05,0.0002154085,8.3508334e-05
